tournament,date,home_team,away_team,home_score,away_score,p_home,p_draw,p_away,lam_home,lam_away,w_ens
EURO 2020,2021-06-19,Germany,Portugal,4,2,0.39085438331320355,0.25703475452661695,0.3521108621601796,1.4857960114637772,1.3775332183384605,0.55
EURO 2020,2021-06-19,Spain,Poland,1,1,0.6895896380486821,0.1967130987373361,0.11369726321398177,2.145403366547722,0.7195202743166489,0.55
EURO 2020,2021-06-19,Hungary,France,1,1,0.24752060458274694,0.2751476229359143,0.4773317724813386,0.9626016519850507,1.5013507681358411,0.55
EURO 2020,2021-06-20,Italy,Wales,1,0,0.6827527213788153,0.21555476912791027,0.10169250949327441,1.890636360582849,0.5593211003190912,0.55
EURO 2020,2021-06-20,Switzerland,Turkey,3,1,0.46283181661976724,0.2751402371602158,0.26202794622001707,1.4344800247312386,1.0109771347632046,0.55
EURO 2020,2021-06-21,Ukraine,Austria,0,1,0.362458609468085,0.29996112151648036,0.3375802690154344,1.1180801087057257,1.086166144179318,0.55
EURO 2020,2021-06-21,Netherlands,North Macedonia,3,0,0.70238385138038,0.18307325947911682,0.11454288914050305,2.3013756455123207,0.8143352062900835,0.55
EURO 2020,2021-06-21,Finland,Belgium,0,2,0.101916890843886,0.18313669818635836,0.7149464109697556,0.7052261394253951,2.232402104915175,0.55
EURO 2020,2021-06-21,Denmark,Russia,4,1,0.7128155148973536,0.1853980544604851,0.10178643064216134,2.220631291775689,0.7176107180539387,0.55
EURO 2020,2021-06-22,Scotland,Croatia,1,3,0.4260784758776652,0.27941621626220925,0.2945053078601254,1.3527444026632525,1.1211704606107555,0.55
EURO 2020,2021-06-22,England,Czech Republic,1,0,0.7092831764755814,0.18832476074382426,0.10239206278059435,2.163968058384818,0.67942324635733,0.55
EURO 2020,2021-06-23,Sweden,Poland,3,2,0.36902948343815556,0.295833237531378,0.33513727903046653,1.1630133116053538,1.09054169440169,0.55
EURO 2020,2021-06-23,Germany,Hungary,2,2,0.644203519970685,0.2029988985826724,0.15279758144664266,2.2777835451903536,0.9426583049504833,0.55
EURO 2020,2021-06-23,Spain,Slovakia,5,0,0.7623924637125723,0.16280181227285523,0.07480572401457247,2.3900119152377517,0.5885149030105099,0.55
EURO 2020,2021-06-23,Portugal,France,2,2,0.35268154040876487,0.3015788876163504,0.34573957197488464,1.097135315192565,1.0933339881842246,0.55
EURO 2020,2021-06-26,Italy,Austria,2,1,0.6211402565284416,0.23548105103476855,0.14337869243678966,1.8124347417799354,0.719875932913401,0.55
EURO 2020,2021-06-26,Wales,Denmark,0,4,0.1816123754017281,0.28758041032923853,0.5308072142690334,0.679920353698521,1.4118095635335122,0.55
EURO 2020,2021-06-27,Netherlands,Czech Republic,0,2,0.5618426509802685,0.24192911113825288,0.1962282378814785,1.7507076255246146,0.9348848722804097,0.55
EURO 2020,2021-06-27,Belgium,Portugal,1,0,0.3846111538398179,0.2808790994723919,0.3345097466877903,1.2868012293777995,1.1712010038375347,0.55
EURO 2020,2021-06-28,Croatia,Spain,3,5,0.17481055386341032,0.24659903320323864,0.5785904129333512,0.8148585730773359,1.706126501728767,0.55
EURO 2020,2021-06-28,France,Switzerland,3,3,0.453747506655251,0.28126637194519033,0.26498612139955874,1.3755053959225172,0.9846797160075396,0.55
EURO 2020,2021-06-29,England,Germany,2,0,0.5617275662582235,0.23492962647459173,0.20334280726718473,1.8250577639801349,1.0110839223815824,0.55
EURO 2020,2021-06-29,Sweden,Ukraine,1,2,0.39989729265942253,0.30100624070373516,0.29909646663684236,1.1858677205503956,0.9829404266495732,0.55
EURO 2020,2021-07-02,Switzerland,Spain,1,1,0.25100661847866257,0.27693757935656366,0.4720558021647737,0.977365765905174,1.4412506047699665,0.55
EURO 2020,2021-07-02,Belgium,Italy,1,2,0.3764685607425401,0.2855151187358729,0.33801632052158714,1.2340322783625242,1.1529493098464325,0.55
EURO 2020,2021-07-03,Ukraine,England,0,4,0.16253518480764617,0.25954816071114584,0.5779166544812079,0.6997448933421797,1.5872470567438088,0.55
EURO 2020,2021-07-03,Czech Republic,Denmark,1,2,0.16908235881943487,0.24123603451370018,0.5896816066668649,0.805960400665438,1.7710437714833187,0.55
EURO 2020,2021-07-06,Italy,Spain,1,1,0.3308144438471493,0.3052538489363472,0.36393170721650336,1.0574140141551167,1.111465039090906,0.55
EURO 2020,2021-07-07,England,Denmark,2,1,0.4600758995473061,0.28670613118948,0.2532179692632139,1.3542343345155086,0.9240764524514493,0.55
EURO 2020,2021-07-11,England,Italy,1,1,0.43080452998888463,0.2950783137743019,0.27411715623681343,1.2567439160159348,0.9395191374698207,0.55
WC 2022,2022-11-20,Qatar,Ecuador,0,2,0.4343343724582544,0.27823355203173683,0.28743207551000893,1.3527298689856173,1.1202522795822876,0.55
